-147.8232814,64.83765952,Best Western Plus Chena River Lodge,"1255 TVSA Way
Fairbanks, AK 99709
Phone: (907) 328-3500
Fax: (907) 328-3607",,,,"{name:""",Best Western Plus Chena River Lodge,""",lat:",64.83765952,",",lon:,-147.8232814,"},","{name:""Best Western Plus Chena River Lodge"", lat:64.83765952324, lon:-147.82328141112}"
-147.7703106,64.84272102,Best Western Plus Pioneer Park Inn,"1908 Chena Landing Loop
Fairbanks, AK 99701
Phone: (907) 479-8080
Fax: (907) 479-8063",,,,"{name:""",Best Western Plus Pioneer Park Inn,""",lat:",64.84272102,",",lon:,-147.7703106,"},","{name:""Best Western Plus Pioneer Park Inn"", lat:64.842721023539, lon:-147.770310622}"
-151.5563755,59.64229317,Best Western Bidarka Inn,"575 Sterling Highway
Homer, AK 99603
Phone: (907) 235-8148
Fax: (907) 235-8140",,,,"{name:""",Best Western Bidarka Inn,""",lat:",59.64229317,",",lon:,-151.5563755,"},","{name:""Best Western Bidarka Inn"", lat:59.642293165969, lon:-151.55637553455}"
-134.4064387,58.30138217,"Baranof Downtown, BW Signature Collection","127 N Franklin Street
Juneau, AK 99801
Phone: (907) 586-2660
Fax: (907) 586-8315",,,,"{name:""","Baranof Downtown, BW Signature Collection",""",lat:",58.30138217,",",lon:,-134.4064387,"},","{name:""Baranof Downtown, BW Signature Collection"", lat:58.301382165969, lon:-134.40643866615}"
-134.587391,58.36413429,Best Western Country Lane Inn,"9300 Glacier Highway
Juneau, AK 99801
Phone: (907) 789-5005
Fax: (907) 789-2818",,,,"{name:""",Best Western Country Lane Inn,""",lat:",58.36413429,",",lon:,-134.587391,"},","{name:""Best Western Country Lane Inn"", lat:58.364134285458, lon:-134.58739103697}"
-134.588314,58.3671619,Best Western Grandma's Feather Bed,"2358 Mendenhall Loop Road
Juneau, AK 99801
Phone: (907) 789-5566
Fax: (907) 789-2818",,,,"{name:""",Best Western Grandma's Feather Bed,""",lat:",58.3671619,",",lon:,-134.588314,"},","{name:""Best Western Grandma's Feather Bed"", lat:58.36716190405, lon:-134.58831396985}"
-152.4116933,57.78866917,Best Western Kodiak Inn,"236 W Rezanof Drive
Kodiak, AK 99615
Phone: (907) 486-5712
Fax: (907) 486-3430",,,,"{name:""",Best Western Kodiak Inn,""",lat:",57.78866917,",",lon:,-152.4116933,"},","{name:""Best Western Kodiak Inn"", lat:57.788669165969, lon:-152.41169330301}"
-151.0697501,60.49619926,Best Western King Salmon Inn,"35546A Kenai Spur Highway
Soldotna, AK 99669
Phone: (907) 262-5857
Fax: (907) 262-9441",,,,"{name:""",Best Western King Salmon Inn,""",lat:",60.49619926,",",lon:,-151.0697501,"},","{name:""Best Western King Salmon Inn"", lat:60.496199261321, lon:-151.06975005036}"
-146.3506756,61.12617333,Best Western Valdez Harbor Inn,"100 Harbor Drive
Valdez, AK 99686
Phone: (907) 835-3434
Fax: (907) 835-2308",,,,"{name:""",Best Western Valdez Harbor Inn,""",lat:",61.12617333,",",lon:,-146.3506756,"},","{name:""Best Western Valdez Harbor Inn"", lat:61.126173333134, lon:-146.3506756161}"
-149.4836162,61.5772406,Best Western Lake Lucille Inn,"1300 W Lake Lucille Drive
Wasilla, AK 99654
Phone: (907) 373-1776
Fax: (907) 376-6199",,,,"{name:""",Best Western Lake Lucille Inn,""",lat:",61.5772406,",",lon:,-149.4836162,"},","{name:""Best Western Lake Lucille Inn"", lat:61.577240595053, lon:-149.48361621641}"
-86.49897557,31.30934617,Best Western Andalusia Inn,"305 W Bypass
Andalusia, AL 36420
Phone: (334) 222-9999
Fax: (334) 222-4551",,,,"{name:""",Best Western Andalusia Inn,""",lat:",31.30934617,",",lon:,-86.49897557,"},","{name:""Best Western Andalusia Inn"", lat:31.309346166567, lon:-86.498975566544}"
-85.82743933,33.66544098,"Hotel Finial, BW Premier Collection","1600 Quintard Avenue
Anniston, AL 36201
Phone: (256) 236-0503
Fax: (256) 770-7185",,,,"{name:""","Hotel Finial, BW Premier Collection",""",lat:",33.66544098,",",lon:,-85.82743933,"},","{name:""Hotel Finial, BW Premier Collection"", lat:33.665440975863, lon:-85.827439334162}"
-86.94169531,34.7840959,Best Western Athens Inn,"1329 US Highway 72 E
Athens, AL 35611
Phone: (256) 233-4030
Fax: (256) 233-4554",,,,"{name:""",Best Western Athens Inn,""",lat:",34.7840959,",",lon:,-86.94169531,"},","{name:""Best Western Athens Inn"", lat:34.78409590405, lon:-86.941695309928}"
